Facility_id Product_id "District Name"
"AIRWING CLINIC HEALTH CENTRE" "DEXAMETHASONE INJECTION 5MG/2ML,2ML" ZOMBA
"AIRWING CLINIC HEALTH CENTRE" "IMPLANON (ETONOGESTREL 68MG),IMPLANT,1 ROD" ZOMBA
"AIRWING CLINIC HEALTH CENTRE" "IMPLANON (ETONOGESTREL 68MG),IMPLANT,1 ROD," ZOMBA
"AIRWING CLINIC HEALTH CENTRE" "JADELLE( LEVONORGESTREL  75MG/ROD),2ROD IMPLANT,5  YEAR EFFICACY" ZOMBA
"AIRWING CLINIC HEALTH CENTRE" "LEVONORGESTREL (0.75MG, 2 TAB) OR (1.5MG, 1 TAB) PACK - EMERGENCY PILL" ZOMBA
"AIRWING CLINIC HEALTH CENTRE" "LEVOPLANT (LEVONOGETREL75MG/ROD),2ROD IMPLANT,3 YEAR EFFICACY" ZOMBA
"AIRWING CLINIC HEALTH CENTRE" "MALE CONDOMS" ZOMBA
"AIRWING CLINIC HEALTH CENTRE" "MALE CONDOMS,EACH" ZOMBA
"AIRWING CLINIC HEALTH CENTRE" "MEDROXYPROGESTERONE ACETATE INJECTION, 150MG/ML - DEPO-PROVERA" ZOMBA
"AIRWING CLINIC HEALTH CENTRE" "MEDROXYPROGESTERONE ACETATE INTRAMUSCULAR INJECTION, 150MG/ML E.G DEPO PROVERA/TRICLOFEM, VIAL" ZOMBA
"AIRWING CLINIC HEALTH CENTRE" "MEDROXYPROGESTERONE ACETATE,SUBCUTANEOUS INJECTION, 104MG/0.65ML E.G  SAYANA PRESS,VIAL" ZOMBA
"AIRWING CLINIC HEALTH CENTRE" "ORAL CONTRACEPTIVE TABLETS - LEVONOGESTREL ONLY 0.3MG (MICROLUT)" ZOMBA
"AIRWING CLINIC HEALTH CENTRE" "ORAL CONTRACEPTIVE, COMBINED LOW OESTROGEN (MICROGYNON) ETHINYLESTRADIOL 0.03MG + LEVONORGESTREL 0.15MG" ZOMBA
"AIRWING CLINIC HEALTH CENTRE" "PREGNANCY SLIDE TEST KIT (HUMAN-CHORIONIC GONADOTROPHIN) HCG" ZOMBA
"AIRWING CLINIC HEALTH CENTRE" "PREGNANCY TEST KIT (HUMAN - CHORIONIC GONADOTROPHIN (H" ZOMBA
"AIRWING CLINIC HEALTH CENTRE" "PREGNANCY TEST KIT (HUMAN - CHORIONIC GONADOTROPHIN (HCG)" ZOMBA
"AKASALE PRIVATE CLINIC" "MALE CONDOMS" CHIRADZULU
"AKASALE PRIVATE CLINIC" "MALE CONDOMS,EACH" CHIRADZULU
"ALINAFE HOSPITAL" "FEMALE CONDOMS" "NKHOTA KOTA"
"ALINAFE HOSPITAL" "FEMALE CONDOMS , EACH" "NKHOTA KOTA"
"ALINAFE HOSPITAL" JADELLE(IMPLANT) "NKHOTA KOTA"
"ALINAFE HOSPITAL" "LEVONORGESTREL (0.75MG, 2 TAB) OR (1.5MG, 1 TAB) PACK - EMERGENCY PILL" "NKHOTA KOTA"
"ALINAFE HOSPITAL" "MAGNESIUM SULPHATE 50%, 2ML AMPOULE" "NKHOTA KOTA"
"ALINAFE HOSPITAL" "MALE CONDOMS" "NKHOTA KOTA"
"ALINAFE HOSPITAL" "MALE CONDOMS,EACH" "NKHOTA KOTA"
"ALINAFE HOSPITAL" "MEDROXYPROGESTERONE ACETATE INJECTION, 150MG/ML - DEPO-PROVERA" "NKHOTA KOTA"
"ALINAFE HOSPITAL" "MEDROXYPROGESTERONE ACETATE INTRAMUSCULAR INJECTION, 150MG/ML E.G DEPO PROVERA/TRICLOFEM, VIAL" "NKHOTA KOTA"
"ALINAFE HOSPITAL" "MEDROXYPROGESTERONE ACETATE,SUBCUTANEOUS INJECTION, 104MG/0.65ML E.G  SAYANA PRESS,VIAL" "NKHOTA KOTA"
"ALINAFE HOSPITAL" "ORAL CONTRACEPTIVE TABLETS - LEVONOGESTREL ONLY 0.3MG (MICROLUT)" "NKHOTA KOTA"
"ALINAFE HOSPITAL" "ORAL CONTRACEPTIVE, COMBINED LOW OESTROGEN (MICROGYNON) ETHINYLESTRADIOL 0.03MG + LEVONORGESTREL 0.15MG" "NKHOTA KOTA"
"ALINAFE HOSPITAL" "OXYTOCIN 10 IU/ML, 1ML" "NKHOTA KOTA"
"ALINAFE HOSPITAL" "OXYTOCIN 10 IU/ML, 1ML,AMPOULE" "NKHOTA KOTA"
"ALINAFE HOSPITAL" "PREGNANCY SLIDE TEST KIT (HUMAN-CHORIONIC GONADOTROPHIN) HCG" "NKHOTA KOTA"
"ALINAFE HOSPITAL" "PREGNANCY TEST KIT (HUMAN - CHORIONIC GONADOTROPHIN (H" "NKHOTA KOTA"
"ALINAFE HOSPITAL" "PREGNANCY TEST KIT (HUMAN - CHORIONIC GONADOTROPHIN (HCG)" "NKHOTA KOTA"
"ALLIANCE ONE CLINIC" "IMPLANON (ETONOGESTREL 68MG),IMPLANT,1 ROD," LILONGWE
"ALLIANCE ONE CLINIC" "JADELLE( LEVONORGESTREL  75MG/ROD),2ROD IMPLANT,5  YEAR EFFICACY" LILONGWE
"ALLIANCE ONE CLINIC" "MALE CONDOMS" LILONGWE
"ALUMENDA HEALTH CENTRE" "FEMALE CONDOMS" CHIKWAWA
"ALUMENDA HEALTH CENTRE" "MALE CONDOMS" CHIKWAWA
"ALUMENDA HEALTH CENTRE" "MALE CONDOMS,EACH" CHIKWAWA
"ALUMENDA HEALTH CENTRE" "MEDROXYPROGESTERONE ACETATE INJECTION, 150MG/ML - DEPO-PROVERA" CHIKWAWA
"ALUMENDA HEALTH CENTRE" "MEDROXYPROGESTERONE ACETATE INTRAMUSCULAR INJECTION, 150MG/ML E.G DEPO PROVERA/TRICLOFEM, VIAL" CHIKWAWA
"ALUMENDA HEALTH CENTRE" "MEDROXYPROGESTERONE ACETATE,SUBCUTANEOUS INJECTION, 104MG/0.65ML E.G  SAYANA PRESS,VIAL" CHIKWAWA
"ALUMENDA HEALTH CENTRE" "ORAL CONTRACEPTIVE, COMBINED LOW OESTROGEN (MICROGYNON) ETHINYLESTRADIOL 0.03MG + LEVONORGESTREL 0.15MG" CHIKWAWA
"AMALIKA HEALTH CENTRE" "DEXAMETHASONE INJECTION 5MG/2ML,2ML" THYOLO
"ANCHOR FARM HEALTH CENTRE" "COPPER CONTAINING IUCD" KASUNGU
"ANCHOR FARM HEALTH CENTRE" "COPPER CONTAINING IUCD (COPPER T)" KASUNGU
"ANCHOR FARM HEALTH CENTRE" "DEXAMETHASONE INJECTION 5MG/2ML,2ML" KASUNGU
"ANCHOR FARM HEALTH CENTRE" "IMPLANON (ETONOGESTREL 68MG),IMPLANT,1 ROD," KASUNGU
"ANCHOR FARM HEALTH CENTRE" "JADELLE( LEVONORGESTREL  75MG/ROD),2ROD IMPLANT,5  YEAR EFFICACY" KASUNGU
"ANCHOR FARM HEALTH CENTRE" JADELLE(IMPLANT) KASUNGU
"ANCHOR FARM HEALTH CENTRE" "LEVONORGESTREL (0.75MG, 2 TAB) OR (1.5MG, 1 TAB) PACK - EMERGENCY PILL" KASUNGU
"ANCHOR FARM HEALTH CENTRE" "LEVOPLANT (LEVONOGETREL75MG/ROD),2ROD IMPLANT,3 YEAR EFFICACY" KASUNGU
"ANCHOR FARM HEALTH CENTRE" "MAGNESIUM SULPHATE 50%, 2ML AMPOULE" KASUNGU
"ANCHOR FARM HEALTH CENTRE" "MALE CONDOMS" KASUNGU
"ANCHOR FARM HEALTH CENTRE" "MALE CONDOMS,EACH" KASUNGU
"ANCHOR FARM HEALTH CENTRE" "MEDROXYPROGESTERONE ACETATE INJECTION, 150MG/ML - DEPO-PROVERA" KASUNGU
"ANCHOR FARM HEALTH CENTRE" "MEDROXYPROGESTERONE ACETATE INTRAMUSCULAR INJECTION, 150MG/ML E.G DEPO PROVERA/TRICLOFEM, VIAL" KASUNGU
"ANCHOR FARM HEALTH CENTRE" "MEDROXYPROGESTERONE ACETATE,SUBCUTANEOUS INJECTION, 104MG/0.65ML E.G  SAYANA PRESS" KASUNGU
"ANCHOR FARM HEALTH CENTRE" "MEDROXYPROGESTERONE ACETATE,SUBCUTANEOUS INJECTION, 104MG/0.65ML E.G  SAYANA PRESS,VIAL" KASUNGU
"ANCHOR FARM HEALTH CENTRE" "MISOPROSTOL 200 MCG, TABLETS" KASUNGU
"ANCHOR FARM HEALTH CENTRE" "ORAL CONTRACEPTIVE TABLETS - LEVONOGESTREL ONLY 0.3MG (MICROLUT)" KASUNGU
"ANCHOR FARM HEALTH CENTRE" "ORAL CONTRACEPTIVE, COMBINED LOW OESTROGEN (MICROGYNON) ETHINYLESTRADIOL 0.03MG + LEVONORGESTREL 0.15MG" KASUNGU
"ANCHOR FARM HEALTH CENTRE" "OXYTOCIN 10 IU/ML, 1ML" KASUNGU
"ANCHOR FARM HEALTH CENTRE" "OXYTOCIN 10 IU/ML, 1ML,AMPOULE" KASUNGU
"ANCHOR FARM HEALTH CENTRE" "PREGNANCY SLIDE TEST KIT (HUMAN-CHORIONIC GONADOTROPHIN) HCG" KASUNGU
"ANCHOR FARM HEALTH CENTRE" "PREGNANCY TEST KIT (HUMAN - CHORIONIC GONADOTROPHIN (H" KASUNGU
"ANCHOR FARM HEALTH CENTRE" "PREGNANCY TEST KIT (HUMAN - CHORIONIC GONADOTROPHIN (HCG)" KASUNGU
"AREA 18 HEALTH CENTRE" "CALCIUM GLUCONATE 10%" LILONGWE
"AREA 18 HEALTH CENTRE" "CALCIUM GLUCONATE 10%, 10ML" LILONGWE
"AREA 18 HEALTH CENTRE" "COPPER CONTAINING IUCD" LILONGWE
"AREA 18 HEALTH CENTRE" "COPPER CONTAINING IUCD (COPPER T)" LILONGWE
"AREA 18 HEALTH CENTRE" "DEXAMETHASONE INJECTION 5MG/2ML,2ML" LILONGWE
"AREA 18 HEALTH CENTRE" "FEMALE CONDOMS" LILONGWE
"AREA 18 HEALTH CENTRE" "FEMALE CONDOMS , EACH" LILONGWE
"AREA 18 HEALTH CENTRE" "IMPLANON (ETONOGESTREL 68MG),IMPLANT,1 ROD" LILONGWE
"AREA 18 HEALTH CENTRE" "IMPLANON (ETONOGESTREL 68MG),IMPLANT,1 ROD," LILONGWE
"AREA 18 HEALTH CENTRE" "JADELLE( LEVONORGESTREL  75MG/ROD),2ROD IMPLANT,5  YEAR EFFICACY" LILONGWE
"AREA 18 HEALTH CENTRE" JADELLE(IMPLANT) LILONGWE
"AREA 18 HEALTH CENTRE" "LEVONORGESTREL (0.75MG, 2 TAB) OR (1.5MG, 1 TAB) PACK - EMERGENCY PILL" LILONGWE
"AREA 18 HEALTH CENTRE" "LEVOPLANT (LEVONOGETREL75MG/ROD),2ROD IMPLANT,3 YEAR EFFICACY" LILONGWE
"AREA 18 HEALTH CENTRE" "MAGNESIUM SULPHATE 20%, 2ML AMPOULE" LILONGWE
"AREA 18 HEALTH CENTRE" "MAGNESIUM SULPHATE 50%, 2ML AMPOULE" LILONGWE
"AREA 18 HEALTH CENTRE" "MALE CONDOMS" LILONGWE
"AREA 18 HEALTH CENTRE" "MALE CONDOMS,EACH" LILONGWE
"AREA 18 HEALTH CENTRE" "MEDROXYPROGESTERONE ACETATE INJECTION, 150MG/ML - DEPO-PROVERA" LILONGWE
"AREA 18 HEALTH CENTRE" "MEDROXYPROGESTERONE ACETATE INTRAMUSCULAR INJECTION, 150MG/ML E.G DEPO PROVERA/TRICLOFEM, VIAL" LILONGWE
"AREA 18 HEALTH CENTRE" "MEDROXYPROGESTERONE ACETATE,SUBCUTANEOUS INJECTION, 104MG/0.65ML E.G  SAYANA PRESS" LILONGWE
"AREA 18 HEALTH CENTRE" "MEDROXYPROGESTERONE ACETATE,SUBCUTANEOUS INJECTION, 104MG/0.65ML E.G  SAYANA PRESS,VIAL" LILONGWE
"AREA 18 HEALTH CENTRE" "MISOPROSTOL 200 MCG, TABLETS" LILONGWE
"AREA 18 HEALTH CENTRE" "ORAL CONTRACEPTIVE TABLETS - LEVONOGESTREL ONLY 0.3MG (MICROLUT)" LILONGWE
"AREA 18 HEALTH CENTRE" "ORAL CONTRACEPTIVE, COMBINED LOW OESTROGEN (MICROGYNON) ETHINYLESTRADIOL 0.03MG + LEVONORGESTREL 0.15MG" LILONGWE
"AREA 18 HEALTH CENTRE" "OXYTOCIN 10 IU/ML, 1ML" LILONGWE
"AREA 18 HEALTH CENTRE" "OXYTOCIN 10 IU/ML, 1ML,AMPOULE" LILONGWE
"AREA 18 HEALTH CENTRE" "PREGNANCY SLIDE TEST KIT (HUMAN-CHORIONIC GONADOTROPHIN) HCG" LILONGWE
"AREA 18 HEALTH CENTRE" "PREGNANCY TEST KIT (HUMAN - CHORIONIC GONADOTROPHIN (H" LILONGWE
"AREA 25 BLM CLINIC" "COPPER CONTAINING IUCD" LILONGWE
"AREA 25 BLM CLINIC" "COPPER CONTAINING IUCD (COPPER T)" LILONGWE
"AREA 25 BLM CLINIC" "FEMALE CONDOMS" LILONGWE
"AREA 25 BLM CLINIC" "FEMALE CONDOMS , EACH" LILONGWE
"AREA 25 BLM CLINIC" "IMPLANON (ETONOGESTREL 68MG),IMPLANT,1 ROD" LILONGWE
"AREA 25 BLM CLINIC" "IMPLANON (ETONOGESTREL 68MG),IMPLANT,1 ROD," LILONGWE
"AREA 25 BLM CLINIC" "JADELLE( LEVONORGESTREL  75MG/ROD),2ROD IMPLANT,5  YEAR EFFICACY" LILONGWE
"AREA 25 BLM CLINIC" JADELLE(IMPLANT) LILONGWE
"AREA 25 BLM CLINIC" "LEVONORGESTREL (0.75MG, 2 TAB) OR (1.5MG, 1 TAB) PACK - EMERGENCY PILL" LILONGWE
"AREA 25 BLM CLINIC" "LEVOPLANT (LEVONOGETREL75MG/ROD),2ROD IMPLANT,3 YEAR EFFICACY" LILONGWE
"AREA 25 BLM CLINIC" "MALE CONDOMS" LILONGWE
"AREA 25 BLM CLINIC" "MALE CONDOMS,EACH" LILONGWE
"AREA 25 BLM CLINIC" "MEDROXYPROGESTERONE ACETATE INJECTION, 150MG/ML - DEPO-PROVERA" LILONGWE
"AREA 25 BLM CLINIC" "MEDROXYPROGESTERONE ACETATE INTRAMUSCULAR INJECTION, 150MG/ML E.G DEPO PROVERA/TRICLOFEM, VIAL" LILONGWE
"AREA 25 BLM CLINIC" "MEDROXYPROGESTERONE ACETATE,SUBCUTANEOUS INJECTION, 104MG/0.65ML E.G  SAYANA PRESS,VIAL" LILONGWE
"AREA 25 BLM CLINIC" "ORAL CONTRACEPTIVE TABLETS - LEVONOGESTREL ONLY 0.3MG (MICROLUT)" LILONGWE
"AREA 25 BLM CLINIC" "ORAL CONTRACEPTIVE, COMBINED LOW OESTROGEN (MICROGYNON) ETHINYLESTRADIOL 0.03MG + LEVONORGESTREL 0.15MG" LILONGWE
"AREA 25 BLM CLINIC" "PREGNANCY SLIDE TEST KIT (HUMAN-CHORIONIC GONADOTROPHIN) HCG" LILONGWE
"AREA 25 HEALTH CENTRE" "CALCIUM GLUCONATE 10%" LILONGWE
"AREA 25 HEALTH CENTRE" "CALCIUM GLUCONATE 10%, 10ML" LILONGWE
"AREA 25 HEALTH CENTRE" "COPPER CONTAINING IUCD" LILONGWE
"AREA 25 HEALTH CENTRE" "COPPER CONTAINING IUCD (COPPER T)" LILONGWE
"AREA 25 HEALTH CENTRE" "DEXAMETHASONE INJECTION 5MG/2ML,2ML" LILONGWE
"AREA 25 HEALTH CENTRE" "FEMALE CONDOMS" LILONGWE
"AREA 25 HEALTH CENTRE" "FEMALE CONDOMS , EACH" LILONGWE
"AREA 25 HEALTH CENTRE" "IMPLANON (ETONOGESTREL 68MG),IMPLANT,1 ROD" LILONGWE
"AREA 25 HEALTH CENTRE" "IMPLANON (ETONOGESTREL 68MG),IMPLANT,1 ROD," LILONGWE
"AREA 25 HEALTH CENTRE" "JADELLE( LEVONORGESTREL  75MG/ROD),2ROD IMPLANT,5  YEAR EFFICACY" LILONGWE
"AREA 25 HEALTH CENTRE" JADELLE(IMPLANT) LILONGWE
"AREA 25 HEALTH CENTRE" "LEVONORGESTREL (0.75MG, 2 TAB) OR (1.5MG, 1 TAB) PACK - EMERGENCY PILL" LILONGWE
"AREA 25 HEALTH CENTRE" "LEVOPLANT (LEVONOGETREL75MG/ROD),2ROD IMPLANT,3 YEAR EFFICACY" LILONGWE
"AREA 25 HEALTH CENTRE" "MAGNESIUM SULPHATE 20%, 2ML AMPOULE" LILONGWE
"AREA 25 HEALTH CENTRE" "MAGNESIUM SULPHATE 50%, 2ML AMPOULE" LILONGWE
"AREA 25 HEALTH CENTRE" "MALE CONDOMS" LILONGWE
"AREA 25 HEALTH CENTRE" "MALE CONDOMS,EACH" LILONGWE
"AREA 25 HEALTH CENTRE" "MEDROXYPROGESTERONE ACETATE INJECTION, 150MG/ML - DEPO-PROVERA" LILONGWE
"AREA 25 HEALTH CENTRE" "MEDROXYPROGESTERONE ACETATE INTRAMUSCULAR INJECTION, 150MG/ML E.G DEPO PROVERA/TRICLOFEM, VIAL" LILONGWE
"AREA 25 HEALTH CENTRE" "MEDROXYPROGESTERONE ACETATE,SUBCUTANEOUS INJECTION, 104MG/0.65ML E.G  SAYANA PRESS" LILONGWE
"AREA 25 HEALTH CENTRE" "MEDROXYPROGESTERONE ACETATE,SUBCUTANEOUS INJECTION, 104MG/0.65ML E.G  SAYANA PRESS,VIAL" LILONGWE
"AREA 25 HEALTH CENTRE" "MISOPROSTOL 200 MCG, TABLETS" LILONGWE
"AREA 25 HEALTH CENTRE" "ORAL CONTRACEPTIVE TABLETS - LEVONOGESTREL ONLY 0.3MG (MICROLUT)" LILONGWE
"AREA 25 HEALTH CENTRE" "ORAL CONTRACEPTIVE, COMBINED LOW OESTROGEN (MICROGYNON) ETHINYLESTRADIOL 0.03MG + LEVONORGESTREL 0.15MG" LILONGWE
"AREA 25 HEALTH CENTRE" "OXYTOCIN 10 IU/ML, 1ML" LILONGWE
"AREA 25 HEALTH CENTRE" "OXYTOCIN 10 IU/ML, 1ML,AMPOULE" LILONGWE
"AREA 25 HEALTH CENTRE" "PREGNANCY SLIDE TEST KIT (HUMAN-CHORIONIC GONADOTROPHIN) HCG" LILONGWE
"AREA 25 HEALTH CENTRE" "PREGNANCY TEST KIT (HUMAN - CHORIONIC GONADOTROPHIN (H" LILONGWE
"AREA 25 HEALTH CENTRE" "PREGNANCY TEST KIT (HUMAN - CHORIONIC GONADOTROPHIN (HCG)" LILONGWE
"AREA 30 POLICE CLINIC" "COPPER CONTAINING IUCD" LILONGWE
"AREA 30 POLICE CLINIC" "COPPER CONTAINING IUCD (COPPER T)" LILONGWE
"AREA 30 POLICE CLINIC" "DEXAMETHASONE INJECTION 5MG/2ML,2ML" LILONGWE
"AREA 30 POLICE CLINIC" "FEMALE CONDOMS" LILONGWE
"AREA 30 POLICE CLINIC" "FEMALE CONDOMS , EACH" LILONGWE
"AREA 30 POLICE CLINIC" "IMPLANON (ETONOGESTREL 68MG),IMPLANT,1 ROD" LILONGWE
"AREA 30 POLICE CLINIC" "IMPLANON (ETONOGESTREL 68MG),IMPLANT,1 ROD," LILONGWE
"AREA 30 POLICE CLINIC" "JADELLE( LEVONORGESTREL  75MG/ROD),2ROD IMPLANT,5  YEAR EFFICACY" LILONGWE
"AREA 30 POLICE CLINIC" JADELLE(IMPLANT) LILONGWE
"AREA 30 POLICE CLINIC" "LEVONORGESTREL (0.75MG, 2 TAB) OR (1.5MG, 1 TAB) PACK - EMERGENCY PILL" LILONGWE
"AREA 30 POLICE CLINIC" "LEVOPLANT (LEVONOGETREL75MG/ROD),2ROD IMPLANT,3 YEAR EFFICACY" LILONGWE
"AREA 30 POLICE CLINIC" "MALE CONDOMS" LILONGWE
"AREA 30 POLICE CLINIC" "MALE CONDOMS,EACH" LILONGWE
"AREA 30 POLICE CLINIC" "MEDROXYPROGESTERONE ACETATE INJECTION, 150MG/ML - DEPO-PROVERA" LILONGWE
"AREA 30 POLICE CLINIC" "MEDROXYPROGESTERONE ACETATE INTRAMUSCULAR INJECTION, 150MG/ML E.G DEPO PROVERA/TRICLOFEM, VIAL" LILONGWE
"AREA 30 POLICE CLINIC" "MEDROXYPROGESTERONE ACETATE,SUBCUTANEOUS INJECTION, 104MG/0.65ML E.G  SAYANA PRESS" LILONGWE
"AREA 30 POLICE CLINIC" "MEDROXYPROGESTERONE ACETATE,SUBCUTANEOUS INJECTION, 104MG/0.65ML E.G  SAYANA PRESS,VIAL" LILONGWE
"AREA 30 POLICE CLINIC" "ORAL CONTRACEPTIVE TABLETS - LEVONOGESTREL ONLY 0.3MG (MICROLUT)" LILONGWE
"AREA 30 POLICE CLINIC" "PREGNANCY SLIDE TEST KIT (HUMAN-CHORIONIC GONADOTROPHIN) HCG" LILONGWE
"ASSALAAM CLINIC" "FEMALE CONDOMS" MANGOCHI
"ASSALAAM CLINIC" "FEMALE CONDOMS , EACH" MANGOCHI
"ASSALAAM CLINIC" "IMPLANON (ETONOGESTREL 68MG),IMPLANT,1 ROD" MANGOCHI
"ASSALAAM CLINIC" "IMPLANON (ETONOGESTREL 68MG),IMPLANT,1 ROD," MANGOCHI
"ASSALAAM CLINIC" "JADELLE( LEVONORGESTREL  75MG/ROD),2ROD IMPLANT,5  YEAR EFFICACY" MANGOCHI
"ASSALAAM CLINIC" JADELLE(IMPLANT) MANGOCHI
"ASSALAAM CLINIC" "LEVONORGESTREL (0.75MG, 2 TAB) OR (1.5MG, 1 TAB) PACK - EMERGENCY PILL" MANGOCHI
"ASSALAAM CLINIC" "LEVOPLANT (LEVONOGETREL75MG/ROD),2ROD IMPLANT,3 YEAR EFFICACY" MANGOCHI
"ASSALAAM CLINIC" "MAGNESIUM SULPHATE 50%, 2ML AMPOULE" MANGOCHI
"ASSALAAM CLINIC" "MALE CONDOMS" MANGOCHI
"ASSALAAM CLINIC" "MALE CONDOMS,EACH" MANGOCHI
"ASSALAAM CLINIC" "MEDROXYPROGESTERONE ACETATE INJECTION, 150MG/ML - DEPO-PROVERA" MANGOCHI
"ASSALAAM CLINIC" "MEDROXYPROGESTERONE ACETATE INTRAMUSCULAR INJECTION, 150MG/ML E.G DEPO PROVERA/TRICLOFEM, VIAL" MANGOCHI
"ASSALAAM CLINIC" "MEDROXYPROGESTERONE ACETATE,SUBCUTANEOUS INJECTION, 104MG/0.65ML E.G  SAYANA PRESS" MANGOCHI
"ASSALAAM CLINIC" "MEDROXYPROGESTERONE ACETATE,SUBCUTANEOUS INJECTION, 104MG/0.65ML E.G  SAYANA PRESS,VIAL" MANGOCHI
"ASSALAAM CLINIC" "ORAL CONTRACEPTIVE TABLETS - LEVONOGESTREL ONLY 0.3MG (MICROLUT)" MANGOCHI
"ASSALAAM CLINIC" "ORAL CONTRACEPTIVE, COMBINED LOW OESTROGEN (MICROGYNON) ETHINYLESTRADIOL 0.03MG + LEVONORGESTREL 0.15MG" MANGOCHI
"ASSALAAM CLINIC" "OXYTOCIN 10 IU/ML, 1ML" MANGOCHI
"ASSALAAM CLINIC" "PREGNANCY SLIDE TEST KIT (HUMAN-CHORIONIC GONADOTROPHIN) HCG" MANGOCHI
"ATUPELE HOSPITAL" "COPPER CONTAINING IUCD" KARONGA
"ATUPELE HOSPITAL" "COPPER CONTAINING IUCD (COPPER T)" KARONGA
"ATUPELE HOSPITAL" "IMPLANON (ETONOGESTREL 68MG),IMPLANT,1 ROD" KARONGA
"ATUPELE HOSPITAL" "IMPLANON (ETONOGESTREL 68MG),IMPLANT,1 ROD," KARONGA
"ATUPELE HOSPITAL" "JADELLE( LEVONORGESTREL  75MG/ROD),2ROD IMPLANT,5  YEAR EFFICACY" KARONGA
"ATUPELE HOSPITAL" JADELLE(IMPLANT) KARONGA
"ATUPELE HOSPITAL" "LEVONORGESTREL (0.75MG, 2 TAB) OR (1.5MG, 1 TAB) PACK - EMERGENCY PILL" KARONGA
"ATUPELE HOSPITAL" "LEVOPLANT (LEVONOGETREL75MG/ROD),2ROD IMPLANT,3 YEAR EFFICACY" KARONGA
"ATUPELE HOSPITAL" "MAGNESIUM SULPHATE 50%, 2ML AMPOULE" KARONGA
"ATUPELE HOSPITAL" "MALE CONDOMS" KARONGA
"ATUPELE HOSPITAL" "MALE CONDOMS,EACH" KARONGA
"ATUPELE HOSPITAL" "MEDROXYPROGESTERONE ACETATE INJECTION, 150MG/ML - DEPO-PROVERA" KARONGA
"ATUPELE HOSPITAL" "MEDROXYPROGESTERONE ACETATE INTRAMUSCULAR INJECTION, 150MG/ML E.G DEPO PROVERA/TRICLOFEM, VIAL" KARONGA
"ATUPELE HOSPITAL" "MEDROXYPROGESTERONE ACETATE,SUBCUTANEOUS INJECTION, 104MG/0.65ML E.G  SAYANA PRESS" KARONGA
