"Facility Name" "District Name"
"MBULUMBUZI HEALTH CENTRE" CHIRADZULU
"NKALO HEALTH CENTRE" CHIRADZULU
"MILEPA HEALTH CENTRE" CHIRADZULU
"BILAL CLINIC" CHIRADZULU
"NAMITAMBO HEALTH CENTRE" CHIRADZULU
"CHIRADZULU DHO PHARMACY" CHIRADZULU
"AKASALE PRIVATE CLINIC" CHIRADZULU
"MSUMBE HEALTH CENTER" CHITIPA
"CHAMBO HEALTH CENTRE" CHITIPA
"MAHOWE HEALTH CENTRE" CHITIPA
"IFUMBO HEALTH CENTRE" CHITIPA
"CHISANSU HEALTH CENTRE" CHITIPA
"KAPENDA HEALTH CENTRE" CHITIPA
"WENYA HEALTH CENTRE" CHITIPA
"MISUKU HEALTH CENTRE" CHITIPA
"KAMEME HEALTH CENTRE" CHITIPA
"NTHALIRE HEALTH CENTRE" CHITIPA
"CHITIPA DHO PHARMACY" CHITIPA
"MPHATHI HEALTH CENTRE" DEDZA
"CHIPHWANYA ST JOSEPH HEALTH CENTRE" DEDZA
"MPHUNZI HEALTH CENTRE" DEDZA
"MATUMBA HEALTH CENTRE" DEDZA
"KAUNDU HEALTH CENTRE" DEDZA
"MAONDE HEALTH CENTRE" DEDZA
"KANYAMA HEALTH CENTRE" DEDZA
"MJINI HEALTH CENTRE" DEDZA
"KAFERE HEALTH CENTRE" DEDZA
"KASINA HEALTH CENTRE" DEDZA
"KALULU HEALTH CENTRE" DEDZA
"TSOYO DISPENSARY" DEDZA
"MGANJA HEALTH CENTRE" DEDZA
"MUA HOSPITAL" DEDZA
"KANYEZI HEALTH CENTRE" DEDZA
"DZINDEVU HEALTH CENTRE" DEDZA
"CHIMOTO HEALTH CENTRE" DEDZA
"MTENDERE HOSPITAL" DEDZA
"CHITOWO HEALTH CENTRE" DEDZA
"MAYANI HEALTH CENTRE" DEDZA
"LOBI HEALTH CENTRE" DEDZA
"DEDZA DHO PHARMACY" DEDZA
"GOLOMOTI HEALTH CENTRE" DEDZA
"CHIKUSE HEALTH CENTRE" DEDZA
"CHONGONI COLLEGE OF FORESTRY DISPENSARY" DEDZA
"KAPHUKA HEALTH CENTRE" DEDZA
"MDEZA HEALTH CENTRE" DEDZA
"MLANGALI HEALTH CENTRE" DEDZA
"MTAKATAKA HEALTH CENTRE" DEDZA
"MTAKATAKA POLICE COLLEGE HEALTH CENTRE" DEDZA
"CHEZI MISSION HOSPITAL" DOWA
"MVERA MISSION HOSPITAL" DOWA
"MWANGALA HEALTH CENTRE" DOWA
"KASESE HEALTH CENTRE" DOWA
"NALUNGA HEALTH CENTRE" DOWA
"MSAKAMBEWA HEALTH CENTRE" DOWA
"CHIZOLOWONDO HEALTH CENTRE" DOWA
"MVERA SUPPORT BATTALION HEALTH CENTRE" DOWA
"CHISEPO HEALTH CENTRE" DOWA
"MADISI HOSPITAL" DOWA
"CHAKHAZA HEALTH CENTRE" DOWA
"THONJE HEALTH CENTRE" DOWA
"CHANKHUNGU HEALTH CENTRE" DOWA
"CHINKHWIRI HEALTH CENTRE" DOWA
"BOWE HEALTH CENTRE" DOWA
"KAYEMBE HEALTH CENTRE" DOWA
"DZOOLE HEALTH CENTRE" DOWA
"MBINGWA HEALTH CENTRE" DOWA
"DZALEKA HEALTH CENTRE" DOWA
"DOWA DHO PHARMACY" DOWA
"MPONELA RURAL/ COMMUNITY HOSPITAL" DOWA
"GRACE COMMUNITY HOSPITAL" DOWA
"SANGIRO HEALTH CENTRE" KARONGA
"ST. ANNE'S HEALTH CENTRE" KARONGA
"MLARE HEALTH CENTRE" KARONGA
"ATUPELE HOSPITAL" KARONGA
"WILIRO HEALTH CENTRE" KARONGA
"HARA HEALTH CENTRE" KARONGA
"LWEZGA HEALTH CENTRE" KARONGA
"FULIRWA HEALTH CENTRE" KARONGA
"MPATA HEALTH CENTRE" KARONGA
"CHILUMBA BARRACKS HEALTH CENTRE" KARONGA
"NGANA HEALTH CENTRE" KARONGA
"KASOBA HEALTH CENTRE" KARONGA
"LUPEMBE HEALTH CENTRE" KARONGA
"NYUNGWE HEALTH CENTRE" KARONGA
"IPONGA HEALTH CENTRE" KARONGA
"CHILUMBA RURAL/ COMMUNITY HOSPITAL" KARONGA
"KAPORO RURAL/ COMMUNITY HOSPITAL" KARONGA
"KATIRI HEALTH CENTRE" KARONGA
"KAYELEKELA HEALTH CENTRE" KARONGA
"MWENELONDO HEALTH CENTRE" KARONGA
"NEWA HEALTH CENTRE" KASUNGU
"ST. FAITH HEALTH CENTRE" KASUNGU
"NKHAMENYA HOSPITAL" KASUNGU
"LIVWEZI HEALTH CENTRE" KASUNGU
"ST. ANDREWS HEALTH CENTRE" KASUNGU
"MDUNGA HEALTH CENTRE" KASUNGU
"CHAMAMA HEALTH CENTRE" KASUNGU
"LODJWA HEALTH CENTRE" KASUNGU
"ANCHOR FARM HEALTH CENTRE" KASUNGU
"MZIZA HEALTH CENTRE" KASUNGU
"DWANGWA DISPENSARY" KASUNGU
"LINYANGWA HEALTH CENTRE" KASUNGU
"MPEPA HEALTH CENTRE" KASUNGU
"GOGODE DISPENSARY" KASUNGU
"CHAMWABVI HEALTH CENTRE" KASUNGU
"KAMBONI HEALTH CENTRE" KASUNGU
"OFESI HEALTH CENTRE" KASUNGU
"MTUNTHAMA HEALTH CENTRE" KASUNGU
"WIMBE HEALTH CENTRE" KASUNGU
"MKHOTA HEALTH CENTRE" KASUNGU
"KHOLA HEALTH CENTER" KASUNGU
"KASALIKA HEALTH CENTRE" KASUNGU
"CHULU HEALTH CENTRE" KASUNGU
"SIMLEMBA HEALTH CENTRE" KASUNGU
"KAWAMBA HEALTH CENTRE" KASUNGU
"KAPELULA HEALTH CENTRE" KASUNGU
"KALULUMA RURAL/ COMMUNITY HOSPITAL" KASUNGU
"MNYANJA HEALTH CENTRE" KASUNGU
"SANTHE HEALTH CENTRE" KASUNGU
"CHINYAMA HEALTH CENTRE" KASUNGU
"BUA HEALTH CENTRE" KASUNGU
"KASUNGU DHO PHARMACY" KASUNGU
"CHAMBWE HEALTH CENTRE" KASUNGU
"CHILANGA HEALTH CENTRE" KASUNGU
"KAKWALE HEALTH CENTRE" KASUNGU
"KAPYANGA HEALTH POST" KASUNGU
"ST AUGUSTINE HEALTH CENTRE" KASUNGU
"ST MARY'S / CHIZUMULU HEALTH CENTRE" LIKOMA
"ST PETERS HOSPITAL" LIKOMA
"CHIMA HEALTH CENTRE" LIKOMA
"AREA 25 BLM CLINIC" LILONGWE
"MLODZA HEALTH CENTRE" LILONGWE
"LUTHERAN MOBILE CLINIC" LILONGWE
"MALINGUNDE HEALTH CENTRE" LILONGWE
"DZENZA HEALTH CENTRE" LILONGWE
"MACRO LILONGWE CLINIC HEALTH CENTRE" LILONGWE
"DAEYANG LUKE HOSPITAL" LILONGWE
"MALUWA HEALTH CENTRE" LILONGWE
"AFRICAN BIBLE COLLEGE CLINIC" LILONGWE
"LEMWE HEALTH CENTRE" LILONGWE
"MBANG'OMBE 2 HEALTH CENTRE" LILONGWE
"UKWE HEALTH CENTRE" LILONGWE
"NDAULA HEALTH CENTRE" LILONGWE
"NEW STATE HOUSE CLINIC" LILONGWE
"LILONGWE AIRBASE HEALTH CENTRE" LILONGWE
"MATAPILA HEALTH CENTRE" LILONGWE
"M'BANG'OMBE I HEALTH CENTRE" LILONGWE
"KATCHALE HEALTH CENTRE" LILONGWE
"NGONI HEALTH CENTRE" LILONGWE
"CHIMBALANGA HEALTH CENTRE" LILONGWE
"NSARU HEALTH CENTRE" LILONGWE
"MING'ONG'O HEALTH CENTRE" LILONGWE
"DICKSON HEALTH CENTRE" LILONGWE
"CHIUNJIZA HEALTH CENTRE" LILONGWE
"MBABVI HEALTH CENTRE" LILONGWE
"AREA 30 POLICE CLINIC" LILONGWE
"KAMUZU BARRACKS HEALTH CENTRE" LILONGWE
"KANG'OMA HEALTH CENTRE" LILONGWE
"CHILOBWE/MAJIGA HEALTH CENTRE" LILONGWE
"NKHOMA HOSPITAL" LILONGWE
"DIAMPHWI HEALTH CENTRE" LILONGWE
"MALEMBO HEALTH CENTRE" LILONGWE
"CHADZA HEALTH CENTRE" LILONGWE
"CHIWOZA HEALTH CENTRE" LILONGWE
"KHONGONI HEALTH CENTRE" LILONGWE
"MPC BWAILA ART CLINIC HEALTH CENTRE" LILONGWE
"CHIWAMBA HEALTH CENTRE" LILONGWE
"CHITEDZE HEALTH CENTRE" LILONGWE
"NTHONDO HEALTH CENTRE" LILONGWE
"MTENTHERA HEALTH CENTRE" LILONGWE
"PARTNERS IN HOPE CLINIC MOYO CLINIC (PUBLIC)" LILONGWE
"NATHENJE HEALTH CENTRE" LILONGWE
"CHIKOWA HEALTH CENTRE" LILONGWE
"AREA 18 HEALTH CENTRE" LILONGWE
"KAWALE HEALTH CENTRE" LILONGWE
"MITUNDU RURAL/ COMMUNITY HOSPITAL" LILONGWE
"CHILEKA HEALTH CENTRE" LILONGWE
"AREA 25 HEALTH CENTRE" LILONGWE
"KAMUZU CENTRAL HOSPITAL PHARMACY" LILONGWE
"LILONGWE DHO PHARMACY" LILONGWE
"BIWI HEALTH CENTRE" LILONGWE
"BLESSINGS HOSPITAL" LILONGWE
"DR DAVID LIVINGSTONE MEMORIAL CLINIC" LILONGWE
"NYANJA HEALTH CENTRE" LILONGWE
"PAKACHERE IHDC" LILONGWE
"MPIRI HEALTH CENTRE" MACHINGA
"NTHOROWA HEALTH CENTRE" MACHINGA
"GAWANANI HEALTH CENTRE" MACHINGA
"MPOSA HEALTH CENTRE" MACHINGA
"NAMANDANJE HEALTH CENTRE" MACHINGA
"MBONECHELA DISPENSARY" MACHINGA
"CHAMBA DISPENSARY" MACHINGA
"KAWINGA DISPENSARY" MACHINGA
"MKWEPERE HEALTH CENTRE" MACHINGA
"MANGAMBA HEALTH CENTRE" MACHINGA
"NSANAMA HEALTH CENTRE" MACHINGA
"MLOMBA DISPENSARY" MACHINGA
"NAMANJA HEALTH CENTRE" MACHINGA
"NAINUNJE HEALTH CENTRE" MACHINGA
"NYAMBI HEALTH CENTRE" MACHINGA
"NGOKWE HEALTH CENTRE" MACHINGA
"CHIKWEO HEALTH CENTRE" MACHINGA
"NAYUCHI HEALTH CENTRE" MACHINGA
"NTAJA HEALTH CENTRE" MACHINGA
"MACHINGA DHO PHARMACY" MACHINGA
"MBANILA HEALTH CENTRE" MACHINGA
"SISTER MARTHA HEALTH CENTRE" MANGOCHI
"NGAPANI CLINIC" MANGOCHI
"LUWALIKA HEALTH CENTRE" MANGOCHI
"SOMBA CLINIC" MANGOCHI
"ASSALAAM CLINIC" MANGOCHI
"SINYALA DISPENSARY" MANGOCHI
"MASE HEALTH CENTRE" MANGOCHI
"BILLY RIORDAN MEMORIAL HEALTH CLINIC" MANGOCHI
"LUGOLA HEALTH CENTRE" MANGOCHI
"NKOPE HEALTH CENTRE" MANGOCHI
"NAMALAKA HEALTH CENTRE" MANGOCHI
"KADANGO HEALTH CENTRE" MANGOCHI
"LULANGA HEALTH CENTRE" MANGOCHI
"IBA HEALTH CENTRE" MANGOCHI
"KATEMA HEALTH CENTRE" MANGOCHI
"CHILONGA HEALTH CARE HEALTH CENTRE" MANGOCHI
"ST. MARTINS HOSPITAL" MANGOCHI
"CHIPONDE DISPENSARY" MANGOCHI
"PHIRILONGWE HEALTH CENTRE" MANGOCHI
"MALUKULA HEALTH CENTRE" MANGOCHI
"NANKUMBA HEALTH CENTRE" MANGOCHI
"MKUMBA HEALTH CENTRE" MANGOCHI
"MALOMBE DISPENSARY" MANGOCHI
"MTIMABI HEALTH CENTRE" MANGOCHI
"KATULI HEALTH CENTRE" MANGOCHI
"NAMWERA RURAL/ COMMUNITY HOSPITAL" MANGOCHI
"JALASI HEALTH CENTRE" MANGOCHI
"MALEMBO HEALTH CENTRE" MANGOCHI
"KUKALANGA DISPENSARY" MANGOCHI
"MAKANJIRA HEALTH CENTRE" MANGOCHI
"CHILIPA HEALTH CENTRE" MANGOCHI
"MONKEYBAY RURAL/ COMMUNITY HOSPITAL" MANGOCHI
"LUNGWENA HEALTH CENTRE" MANGOCHI
"MANGOCHI DHO PHARMACY" MANGOCHI
MAGANGA MANGOCHI
"MEHBOOB HOSPITAL" MANGOCHI
"LUDZI ST JOSEPHS" MCHINJI
"GUMBA HEALTH POST HEALTH CENTRE" MCHINJI
"MCHINJI DISTRICT HOSPITAL" MCHINJI
"FANUEL HEALTH CENTRE" MCHINJI
"NAMIZANA CLINIC" MCHINJI
"KAPANGA HEALTH CENTRE" MCHINJI
"KAIGWAZANGA HEALTH CENTRE" MCHINJI
"CHIPUMI HEALTH CENTRE" MCHINJI
"TEMBWE HEALTH CENTRE" MCHINJI
"CHIOSYA HEALTH CENTRE" MCHINJI
"NKHWAZI HEALTH CENTRE" MCHINJI
"MIKUNDI HEALTH CENTRE" MCHINJI
"MKANDA HEALTH CENTRE" MCHINJI
"KOCHILIRA RURAL/ COMMUNITY HOSPITAL" MCHINJI
"MCHINJI DHO PHARMACY" MCHINJI
"CHIMWAMKANGO HEALTH CENTRE" MCHINJI
"KAZYOZYO HEALTH CENTRE" MCHINJI
"THEMBE HEALTH CENTRE" MULANJE
"NAMULENGA HEALTH CENTRE" MULANJE
"LUJERI CLINIC" MULANJE
"DZENJE HEALTH CENTRE" MULANJE
"MKOMAULA HEALTH CENTRE" MULANJE
"BONDO HEALTH CENTRE" MULANJE
"MIMOSA DISPENSARY" MULANJE
"CHAMBE HEALTH CENTRE" MULANJE
"NAMPHUNGO HEALTH CENTRE" MULANJE
"MULOMBA HEALTH CENTRE" MULANJE
"KAMBENJE HEALTH CENTRE" MULANJE
"CHINYAMA HEALTH CENTRE" MULANJE
"NAPHIMBA HEALTH CENTRE" MULANJE
"CHISITU HEALTH CENTRE" MULANJE
"MPALA HEALTH CENTRE" MULANJE
"MULOZA HEATH CENTRE HEALTH CENTRE" MULANJE
"MILONDE HEALTH CENTRE" MULANJE
"MBIZA HEALTH CENTRE" MULANJE
"THUCHILA HEALTH CENTRE" MULANJE
"MULANJE MISSION HOSPITAL" MULANJE
"CHONDE HEALTH CENTRE" MULANJE
"NAMASALIMA HEALTH CENTRE" MULANJE
"MULANJE DHO PHARMACY" MULANJE
"TULONKHONDO HEALTH CENTRE" MWANZA
"KUNENEKUDE HEALTH CENTRE" MWANZA
"THAMBANI HEALTH CENTRE" MWANZA
"MWANZA DHO PHARMACY" MWANZA
"PADRE PIO HEALTH CENTRE" "MZIMBA NORTH"
"NKHORONGO HEALTH CENTRE" "MZIMBA NORTH"
"EKWAYIWENI HEALTH CENTRE" "MZIMBA NORTH"
"NJUYU HEALTH CENTRE" "MZIMBA NORTH"
"LUVWERE HEALTH CENTRE" "MZIMBA NORTH"
"KABWAFU HEALTH CENTRE" "MZIMBA NORTH"
"EMSIZINI HEALTH CENTRE" "MZIMBA NORTH"
"MANOLO HEALTH CENTRE" "MZIMBA NORTH"
"CHOMA HEALTH CENTRE" "MZIMBA NORTH"
"LUZI HEALTH CENTRE" "MZIMBA NORTH"
"MATULI HEALTH CENTRE" "MZIMBA NORTH"
"MTWALO HEALTH CENTRE" "MZIMBA NORTH"
"ZOLOZOLO HEALTH CENTRE" "MZIMBA NORTH"
"KAMWE HEALTH CENTRE" "MZIMBA NORTH"
"MALIDADE HEALTH CENTRE" "MZIMBA NORTH"
"KHUYUKUYU HEALTH CENTRE" "MZIMBA NORTH"
"ENUKWENI HEALTH CENTRE" "MZIMBA NORTH"
"KAWECHE HEALTH CENTRE" "MZIMBA NORTH"
"KAFUKULE HEALTH CENTRE" "MZIMBA NORTH"
"MPHEREMBE HEALTH CENTRE" "MZIMBA NORTH"
"BWENGU HEALTH CENTRE" "MZIMBA NORTH"
"ST. JOHNS HOSPITAL" "MZIMBA NORTH"
"EKWENDENI HOSPITAL" "MZIMBA NORTH"
"ENGUCWINI HEALTH CENTRE" "MZIMBA NORTH"
"THUNDUWIKE HEALTH CENTRE" "MZIMBA NORTH"
"MOYALE BARRACKS HEALTH CENTRE" "MZIMBA NORTH"
"MZIMBA NORTH DHO PHARMACY" "MZIMBA NORTH"
"MZUZU CENTRAL HOSPITAL PHARMACY" "MZIMBA NORTH"
"ENUKWENI MISSION HEALTH CENTRE" "MZIMBA NORTH"
"MACRO MZUZU CLINIC" "MZIMBA NORTH"
"MHALAUNDA HEALTH CENTRE" "MZIMBA SOUTH"
"MABIRI HEALTH CENTRE" "MZIMBA SOUTH"
"RAIPLY CLINIC" "MZIMBA SOUTH"
"LUNJIKA HEALTH CENTRE" "MZIMBA SOUTH"
"KATETE HOSPITAL" "MZIMBA SOUTH"
"MZAMBAZI HOSPITAL" "MZIMBA SOUTH"
"MSESE HEALTH CENTRE" "MZIMBA SOUTH"
"LUWAWA HEALTH CENTRE" "MZIMBA SOUTH"
"KABUWA HEALTH CENTRE" "MZIMBA SOUTH"
"EMBANGWENI HOSPITAL" "MZIMBA SOUTH"
"HOHO HEALTH CENTRE" "MZIMBA SOUTH"
"KHOSOLO HEALTH CENTRE" "MZIMBA SOUTH"
"CHIKANGAWA HEALTH CENTRE" "MZIMBA SOUTH"
"EHEHIENI DISPENSARY" "MZIMBA SOUTH"
"VIBANGALALA DISPENSARY" "MZIMBA SOUTH"
"MZALANGWE HEALTH CENTRE" "MZIMBA SOUTH"
"MTENDE HEALTH CENTRE" "MZIMBA SOUTH"
"MANYAMULA HEALTH CENTRE" "MZIMBA SOUTH"
"MBALACHANDA HEALTH CENTRE" "MZIMBA SOUTH"
"KAMTETEKA HEALTH CENTRE" "MZIMBA SOUTH"
"MKOMA HEALTH CENTRE" "MZIMBA SOUTH"
"ENDINDENI HEALTH CENTRE" "MZIMBA SOUTH"
"LUWELEZI HEALTH CENTRE" "MZIMBA SOUTH"
"MADEDE HEALTH CENTRE" "MZIMBA SOUTH"
"BULALA HEALTH CENTRE" "MZIMBA SOUTH"
"EDINGENI HEALTH CENTRE" "MZIMBA SOUTH"
"EMFENI HEALTH CENTRE" "MZIMBA SOUTH"
"EUTHINI RURAL/ COMMUNITY HOSPITAL" "MZIMBA SOUTH"
"JENDA RURAL HOSPITAL" "MZIMBA SOUTH"
"MZIMBA SOUTH DHO PHARMACY" "MZIMBA SOUTH"
"KALIKUMBI HEALTH CENTRE" "MZIMBA SOUTH"
"TEDZANI ESCOM CLINIC" NENO
"LUWANI HEALTH CENTRE" NENO
"MAGALETA HEALTH CENTRE" NENO
"DAMBE HEALTH CENTRE" NENO
"MIDZEMBA HEALTH CENTRE" NENO
"LIGOWE HEALTH CENTRE" NENO
"MATANDANI HEALTH CENTRE (CHAM)" NENO
"CHIFUNGA HEALTH CENTRE" NENO
"MATOPE HEALTH CENTRE (CHAM)" NENO
"ZALEWA DAPP (DAPP HOPE) CLINIC" NENO
"LISUNGWI RURAL/ COMMUNITY HOSPITAL" NENO
"NENO DHO PHARMACY" NENO
"KAWALAZI PLANTATION CLINIC" "NKHATA BAY"
"VIZARA PLANTATION CLINIC" "NKHATA BAY"
"LWAZI HEALTH CENTRE" "NKHATA BAY"
"RUARWE HEALTH CENTRE" "NKHATA BAY"
"MWAYA HEALTH CENTRE" "NKHATA BAY"
"TCHESAMU HEALTH CENTRE" "NKHATA BAY"
"KAVUZI CLINIC" "NKHATA BAY"
"KHONDOWE HEALTH CENTRE" "NKHATA BAY"
"CHISALA HEALTH CENTRE" "NKHATA BAY"
"BULA HEALTH CENTRE" "NKHATA BAY"
"KANDE HEALTH CENTRE" "NKHATA BAY"
"MZENGA HEALTH CENTRE" "NKHATA BAY"
"MPAMBA HEALTH CENTRE" "NKHATA BAY"
"MAULA HEALTH CENTRE" "NKHATA BAY"
"KACHERE HEALTH CENTRE" "NKHATA BAY"
"USISYA HEALTH CENTRE" "NKHATA BAY"
"LIUZI HEALTH CENTRE" "NKHATA BAY"
"CHIKWINA HEALTH CENTRE" "NKHATA BAY"
"CHINTHECHE RURAL/ COMMUNITY HOSPITAL" "NKHATA BAY"
"NKHATA BAY DHO PHARMACY" "NKHATA BAY"
"WORLD MEDICAL FUND CLINIC" "NKHOTA KOTA"
"KASITU HEALTH CENTRE" "NKHOTA KOTA"
"DWANGWA CANE GROWERS LIMITED CLINIC" "NKHOTA KOTA"
"LIWALADZI HEALTH CENTRE" "NKHOTA KOTA"
"KAPILI HEALTH CENTRE" "NKHOTA KOTA"
"CHIDIDI HEALTH CENTRE" "NKHOTA KOTA"
"ALINAFE HOSPITAL" "NKHOTA KOTA"
"MATIKI CLINIC" "NKHOTA KOTA"
"ST. ANNES HOSPITAL" "NKHOTA KOTA"
"KAONGOZI HEALTH CENTRE" "NKHOTA KOTA"
"KATIMBIRA HEALTH CENTRE" "NKHOTA KOTA"
"MTOSA HEALTH CENTRE" "NKHOTA KOTA"
"MPAMANTHA HEALTH CENTRE" "NKHOTA KOTA"
"BENGA HEALTH CENTRE" "NKHOTA KOTA"
"MSENJERE HEALTH CENTRE" "NKHOTA KOTA"
"MALOWA HEALTH CENTRE" "NKHOTA KOTA"
"MWANSAMBO HEALTH CENTRE" "NKHOTA KOTA"
"DWAMBAZI RURAL/ COMMUNITY HOSPITAL" "NKHOTA KOTA"
"NGALA HEALTH CENTRE" "NKHOTA KOTA"
"NKHUNGA HEALTH CENTRE" "NKHOTA KOTA"
"BUA HEALTH CENTRE" "NKHOTA KOTA"
"NKHOTAKOTA DHO PHARMACY" "NKHOTA KOTA"
"LULWE HEALTH CENTRE" NSANJE
"CHIDIDI HEALTH CENTRE" NSANJE
"KALEMBA HOSPITAL" NSANJE
"TRINITY HOSPITAL" NSANJE
"NYAMITHUTHU HEALTH CENTRE" NSANJE
"PHOKERA HEALTH CENTRE" NSANJE
"SANKHULANI HEALTH CENTRE" NSANJE
"MBENJE HEALTH CENTRE" NSANJE
"MAKHANGA HEALTH CENTRE" NSANJE
"NDAMERA HEALTH CENTRE" NSANJE
"TENGANI HEALTH CENTRE" NSANJE
"SORGIN HEALTH CENTRE" NSANJE
"MASENJERE HEALTH CENTRE" NSANJE
"NSANJE DHO PHARMACY" NSANJE
"MULUMA HEALTH CENTRE" NTCHEU
"CHIGODI HEALTH CENTRE" NTCHEU
"MLANDA HEALTH CENTRE" NTCHEU
"LAKE VIEW HEALTH CENTRE" NTCHEU
"GOWA HEALTH CENTRE" NTCHEU
"MATANDA HEALTH CENTRE" NTCHEU
"NZAMA HEALTH CENTRE" NTCHEU
"SENZANI HEALTH CENTRE" NTCHEU
"MTONDA HEALTH CENTRE" NTCHEU
"GANYA HEALTH CENTRE" NTCHEU
"PHANGA HEALTH CENTRE" NTCHEU
"SHARPE VALLEY HEALTH CENTRE" NTCHEU
"NSIPE HEALTH CENTRE" NTCHEU
"MASASA DISPENSARY" NTCHEU
"DOVIKO HEALTH CENTRE" NTCHEU
"MLANGENI HEALTH CENTRE" NTCHEU
"CHIKOWA -NU036 HEALTH CENTRE" NTCHEU
"KALIMANJIRA HEALTH CENTRE" NTCHEU
"CHIKANDE HEALTH CENTRE" NTCHEU
